%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814151727609683,205,1520814151726514101,map,1,1,21.432505,-157.789296667,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814152800047238,206,1520814152799241065,map,1,1,21.432505,-157.789296667,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814153759542130,207,1520814153758019924,map,1,1,21.432505,-157.789296667,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814154804881115,208,1520814154803977966,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814155832969135,209,1520814155831613063,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814156788665214,210,1520814156787992000,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814157833705121,211,1520814157832896947,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814158828876646,212,1520814158828233003,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814159834145151,213,1520814159833405971,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814160837299153,214,1520814160836287975,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814161833213035,215,1520814161832453012,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814162828191904,216,1520814162827179908,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814163817381824,217,1520814163816258907,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814164761413646,218,1520814164760284900,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814165835708653,219,1520814165834393978,map,1,1,21.432505,-157.789296667,20.9,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814166761213210,220,1520814166760562896,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814167781155364,221,1520814167780160903,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814168787472367,222,1520814168786385059,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814169772407259,223,1520814169771315097,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814170781653982,224,1520814170780638933,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814171806556548,225,1520814171805306911,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814172733121623,226,1520814172732147932,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814173808009796,227,1520814173807044982,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814174757176342,228,1520814174756115913,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814175770582632,229,1520814175769804000,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814176835346374,230,1520814176834268093,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814177834945875,231,1520814177833137989,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
