%time,field.data
1520818026826430537,47
1520818026900302157,47
1520818026973792728,47
1520818027047904461,47
1520818027121659099,47
1520818027181253101,47
1520818027241037862,47
1520818027299972007,47
1520818027375600725,47
1520818027449305030,47
1520818027522868140,47
1520818027596905086,47
1520818027671408903,47
1520818027746409977,47
1520818027820149113,47
1520818027894054320,47
1520818027969259042,47
1520818028043013513,47
1520818028116645877,47
1520818028190611071,47
1520818028264534260,47
1520818028340314334,47
1520818028414171430,47
1520818028473099157,47
1520818028532607169,47
1520818028591748931,47
1520818028665759453,47
1520818028740364949,47
1520818028815549361,47
1520818028889146580,47
1520818028962839583,47
1520818029037541161,47
1520818029112262361,47
1520818029185703868,47
1520818029259527976,47
1520818029333293927,47
1520818029407144616,47
1520818029482895475,47
1520818029556766486,47
1520818029630525599,47
1520818029705901516,47
1520818029764254455,47
1520818029824686260,47
1520818029898403277,47
1520818029971987400,47
1520818030046056679,47
1520818030120454449,47
1520818030195590508,47
1520818030269393204,47
1520818030343372592,47
1520818030416734126,47
1520818030492382149,47
1520818030566094733,47
1520818030640474436,47
1520818030714672429,47
1520818030787841635,47
1520818030863376849,47
1520818030937167075,47
1520818031010932562,47
1520818031070278308,47
1520818031129714919,47
1520818031204987665,47
1520818031278733773,47
1520818031352565009,47
1520818031426683051,47
1520818031500710437,47
1520818031576037236,47
1520818031649679248,47
1520818031723475904,47
1520818031797166597,47
1520818031872752789,47
1520818031946334278,47
1520818032019950980,47
1520818032094125559,47
1520818032169744754,47
1520818032243562544,47
1520818032302804605,47
1520818032362078475,47
1520818032421686807,47
1520818032495310102,47
1520818032569935762,47
1520818032642803147,47
1520818032718838044,47
1520818032792245255,47
1520818032866057198,47
1520818032941629419,47
1520818033015296500,47
1520818033089258187,47
1520818033162779549,47
1520818033236469050,47
1520818033312533123,47
1520818033386211241,47
1520818033460004056,47
1520818033534098424,47
1520818033593723883,47
1520818033652438901,47
1520818033712734383,47
1520818033786064777,47
1520818033861408899,47
1520818033935227985,47
1520818034008929847,47
1520818034084446007,47
1520818034158370413,47
1520818034231836669,47
1520818034305807848,47
1520818034380609517,47
1520818034455498114,47
1520818034529081379,47
1520818034602997438,47
1520818034678235355,47
1520818034751886177,47
1520818034825609588,47
1520818034885598317,47
1520818034944466374,47
1520818035004057953,47
1520818035078154033,47
1520818035151893772,47
1520818035226973606,47
1520818035300633708,47
1520818035374494242,47
1520818035448907181,47
1520818035522216477,47
1520818035597992168,47
1520818035671866404,47
1520818035745379358,47
1520818035820889946,47
1520818035894787307,47
1520818035968511488,47
1520818036042629056,47
1520818036116882751,47
1520818036176351067,47
1520818036234583893,47
1520818036310621474,47
1520818036384368356,47
1520818036458451453,47
1520818036531939448,47
1520818036607489548,47
1520818036681249548,47
1520818036754730394,47
1520818036829422210,47
1520818036902686211,47
1520818036978115393,47
1520818037052052856,47
1520818037125832224,47
1520818037201092227,47
1520818037275150487,47
1520818037348928350,47
1520818037422407132,47
1520818037481915777,47
1520818037542251838,47
1520818037615140614,47
1520818037690876217,47
1520818037764688324,47
1520818037838678462,47
1520818037912969069,47
1520818037987765641,47
1520818038061394174,47
1520818038135385266,47
1520818038208659426,47
1520818038282949267,47
1520818038358601726,47
1520818038432396189,47
1520818038506083501,47
1520818038581480858,47
1520818038655218090,47
1520818038714911665,47
1520818038773927572,47
1520818038833618593,47
1520818038907721849,47
1520818038981133172,47
1520818039055779901,47
1520818039130083461,47
1520818039204003931,47
1520818039277843430,47
1520818039351630020,47
1520818039426154090,47
1520818039501331660,47
1520818039575004906,47
1520818039648811652,47
1520818039724840707,47
1520818039798008766,47
1520818039871780304,47
1520818039945547803,47
1520818040005158107,47
1520818040064521774,47
1520818040138100853,47
1520818040213820275,47
1520818040287893316,47
1520818040361394506,47
1520818040435761065,47
1520818040510792905,47
1520818040584396539,47
1520818040658102056,47
1520818040732766381,47
1520818040806180448,47
1520818040881549841,47
1520818040955261733,47
